Sum of Production,Column Labels,,,,,,,
Row Labels,Autumn     ,Kharif     ,Rabi       ,Summer     ,Whole Year ,Winter     ,(blank),Grand Total
Arecanut,,26128,745051,,38373082,,,39144261
Arhar/Tur,6487,59837645,595223,16414,432556,25508,,60913833
Bajra,,104011339,568848,12477247,1079613,,,118137047
Banana,16460,1684729,8490,10730117,214020093,12090,,226471979
Barley,,1591377,17804616,,102694,,,19498687
Black pepper,,1041,4298,,2090311,,,2095650
Cardamom,,1690,,,253807,,,255497
Cashewnut,,514264,77785,,3145158,,,3737207
Castor seed,,23328783,36393,,684035,,,24049211
Coconut ,,40,,,3.08752E+11,,,3.08752E+11
Coriander,,1235,118262,,3122999,,,3242496
Cotton(lint),20,444923914,1577839,19531,11310100,10,,457831414
Cowpea(Lobia),,473921,244166,14486,0,,,732573
Dry chillies,30790,15712890,3650221,213976,6400541,1420,,26009838
Garlic,,58753,2517863,,16222235,,,18798851
Ginger,590,3985283,528,930,13694150,360,,17681841
Gram,,420357,130648535,,3247931,,,134316823
Groundnut,457260,116038510,17439285,10124716,4504982,61572,,148626325
Guar seed,,925271,80,,6302176,,,7227527
Horse-gram,,2574543,2259682,1093,133937,307527,,5276782
Jowar,175,71455394,69187356,266332,1006178,,,141915435
Jute,445816,229942681,35304,20,,,,230423821
Khesari,,507,7074827,,40118,,,7115452
Linseed,,994,3133805,,52773,,,3187572
Maize,14127734,280195725,87962690,22660498,5907885,56649,,410911181
Masoor,,307422,19145089,,272042,,,19724553
Mesta,,14029827,2952,,20023,,,14052802
Moong(Green Gram),102471,14035646,3088686,4562542,338244,362900,,22490489
Moth,,897674,15992,,84,,,913750
Niger seed,,1664756,38920370,,29656,26271,,40641053
Oilseeds total,,12076047,872496,,4586895,,,17535438
Onion,120,22961815,28426207,5220347,65092416,40,,121700945
Other  Rabi pulses,,,6437719,47,,,,6437766
Other Cereals,,1008822,511168,141869,,,,1661859
Other Kharif pulses,,5246371,42,,,,,5246413
other oilseeds,,9930075,54835,1320,46943,,,10033173
Other Summer Pulses,,,,8394,,,,8394
Peas & beans (Pulses),430,1160752,12409996,41398,697613,320,,14310509
Potato,1670,6804795,350987495,1453342,248671011,21769722,,629688035
Ragi,724201,39607173,2349777,353346,741494,439969,,44215960
Rapeseed &Mustard,,10429,77035004,,1056207,47274,,78148914
Rice,68261883,1321613030,119631745,170784807,2616273,546393442,,2229301180
Safflower,,1300,3237368,,3122,,,3241790
Sannhamp,7810,149953,298,,261826,,,419887
Sesamum,25358,6571516,594748,3034450,3208158,108739,,13542969
Small millets,5456,8251755,5002320,10335,159389,,,13429255
Soyabean,320,185238191,2010,,6419043,100,,191659664
Sugarcane,12410,2351550089,27716,4900,4868533298,16408342,,7236536755
Sunflower,,6092437,6106677,745622,1699902,,,14644638
Sweet potato,180,3920337,224937,,6264056,30,,10409540
Tapioca,130,2092550,9408,,128782605,,,130884693
Tobacco,,3114874,5754342,21684,12192819,,,21083719
Turmeric,70,2111330,68165,20,7509329,20,,9688934
Urad,178810,24328728,8966362,768005,583544,443115,,35268564
Wheat,,72,1801793158,53368,8865390,42516,,1810754504
(blank),,,,,,,,
Grand Total,84406651,5402484780,2837368229,243731156,3.14453E+11,586507936,,3.23607E+11
